timestamp,source_ip,dest_ip,protocol,frame_length,src_port,dst_port,udp_src_port,udp_dst_port,ip_length
frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.len
"1735855484.494286000","102.31.137.53","192.168.1.14","17","1217",,,"42379","63595","1203"
"1735855484.494795000","102.31.137.53","192.168.1.14","17","1217",,,"42379","63595","1203"
"1735855484.495318000","102.31.137.53","192.168.1.14","17","1217",,,"42379","63595","1203"
"1735855484.501310000","192.168.1.14","102.31.137.53","17","693",,,"63595","42379","679"
"1735855484.505297000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.509956000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.516033000","102.31.137.53","192.168.1.14","17","247",,,"42379","63595","233"
"1735855484.525744000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.528426000","192.168.1.14","102.31.137.53","17","102",,,"63595","42379","88"
"1735855484.549728000","192.168.1.14","102.31.137.53","17","77",,,"63595","42379","63"
"1735855484.551115000","102.31.137.53","192.168.1.14","17","1009",,,"42379","63595","995"
"1735855484.551593000","102.31.137.53","192.168.1.14","17","1009",,,"42379","63595","995"
"1735855484.552068000","102.31.137.53","192.168.1.14","17","1010",,,"42379","63595","996"
"1735855484.552588000","102.31.137.53","192.168.1.14","17","1010",,,"42379","63595","996"
"1735855484.555490000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.566686000","192.168.1.14","102.31.137.53","17","653",,,"63595","42379","639"
"1735855484.576578000","102.31.137.53","192.168.1.14","17","165",,,"42379","63595","151"
"1735855484.597417000","102.31.137.53","192.168.1.14","17","112",,,"42379","63595","98"
"1735855484.605598000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855484.632139000","192.168.1.14","102.31.137.53","17","575",,,"63595","42379","561"
"1735855484.634582000","102.31.137.53","192.168.1.14","17","1141",,,"42379","63595","1127"
"1735855484.634789000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855484.642087000","102.31.137.53","192.168.1.14","17","1142",,,"42379","63595","1128"
"1735855484.642977000","102.31.137.53","192.168.1.14","17","1142",,,"42379","63595","1128"
"1735855484.643138000","102.31.137.53","192.168.1.14","17","1142",,,"42379","63595","1128"
"1735855484.643380000","102.31.137.53","192.168.1.14","17","1142",,,"42379","63595","1128"
"1735855484.643380000","102.31.137.53","192.168.1.14","17","158",,,"42379","63595","144"
"1735855484.672027000","102.31.137.53","192.168.1.14","17","154",,,"42379","63595","140"
"1735855484.672414000","192.168.1.14","102.31.137.53","17","106",,,"63595","42379","92"
"1735855484.677254000","192.168.1.14","102.31.137.53","17","639",,,"63595","42379","625"
"1735855484.701641000","102.31.137.53","192.168.1.14","17","161",,,"42379","63595","147"
"1735855484.710083000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.713932000","102.31.137.53","192.168.1.14","17","1114",,,"42379","63595","1100"
"1735855484.714347000","102.31.137.53","192.168.1.14","17","1114",,,"42379","63595","1100"
"1735855484.714878000","102.31.137.53","192.168.1.14","17","1114",,,"42379","63595","1100"
"1735855484.715360000","102.31.137.53","192.168.1.14","17","1114",,,"42379","63595","1100"
"1735855484.729000000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.739985000","192.168.1.14","102.31.137.53","17","554",,,"63595","42379","540"
"1735855484.756737000","102.31.137.53","192.168.1.14","17","160",,,"42379","63595","146"
"1735855484.756737000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.764259000","157.240.203.14","192.168.1.14","6","153","443","53980",,,"139"
"1735855484.796498000","102.31.137.53","192.168.1.14","17","1197",,,"42379","63595","1183"
"1735855484.796498000","102.31.137.53","192.168.1.14","17","1198",,,"42379","63595","1184"
"1735855484.805072000","192.168.1.14","102.31.137.53","17","514",,,"63595","42379","500"
"1735855484.806746000","192.168.1.14","157.240.203.14","6","54","53980","443",,,"40"
"1735855484.811578000","102.31.137.53","192.168.1.14","17","1198",,,"42379","63595","1184"
"1735855484.812041000","102.31.137.53","192.168.1.14","17","1198",,,"42379","63595","1184"
"1735855484.812466000","102.31.137.53","192.168.1.14","17","1198",,,"42379","63595","1184"
"1735855484.812466000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.822819000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855484.827339000","102.31.137.53","192.168.1.14","17","159",,,"42379","63595","145"
"1735855484.827339000","102.31.137.53","192.168.1.14","17","88",,,"42379","63595","74"
"1735855484.868754000","192.168.1.14","102.31.137.53","17","133",,,"63595","42379","119"
"1735855484.869448000","192.168.1.14","102.31.137.53","17","708",,,"63595","42379","694"
"1735855484.875775000","102.31.137.53","192.168.1.14","17","81",,,"42379","63595","67"
"1735855484.887423000","102.31.137.53","192.168.1.14","17","997",,,"42379","63595","983"
"1735855484.887850000","102.31.137.53","192.168.1.14","17","997",,,"42379","63595","983"
"1735855484.890700000","192.168.1.14","102.31.137.53","17","127",,,"63595","42379","113"
"1735855484.896570000","102.31.137.53","192.168.1.14","17","997",,,"42379","63595","983"
"1735855484.897051000","102.31.137.53","192.168.1.14","17","997",,,"42379","63595","983"
"1735855484.909059000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855484.910605000","192.168.1.14","102.31.137.53","17","120",,,"63595","42379","106"
"1735855484.929341000","192.168.1.14","102.31.137.53","17","116",,,"63595","42379","102"
"1735855484.932213000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855484.933767000","192.168.1.14","102.31.137.53","17","607",,,"63595","42379","593"
"1735855484.948950000","192.168.1.14","102.31.137.53","17","123",,,"63595","42379","109"
"1735855484.953102000","102.31.137.53","192.168.1.14","17","1140",,,"42379","63595","1126"
"1735855484.953464000","102.31.137.53","192.168.1.14","17","1140",,,"42379","63595","1126"
"1735855484.955514000","102.31.137.53","192.168.1.14","17","1140",,,"42379","63595","1126"
"1735855484.955930000","102.31.137.53","192.168.1.14","17","1140",,,"42379","63595","1126"
"1735855484.956540000","102.31.137.53","192.168.1.14","17","1141",,,"42379","63595","1127"
"1735855484.965618000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.970767000","192.168.1.14","102.31.137.53","17","118",,,"63595","42379","104"
"1735855484.983328000","192.168.1.14","102.31.137.53","17","672",,,"63595","42379","658"
"1735855484.985801000","102.31.137.53","192.168.1.14","17","112",,,"42379","63595","98"
"1735855484.990636000","192.168.1.14","102.31.137.53","17","122",,,"63595","42379","108"
"1735855485.008913000","192.168.1.14","102.31.137.53","17","115",,,"63595","42379","101"
"1735855485.010672000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855485.011837000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.026104000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855485.028725000","192.168.1.14","102.31.137.53","17","110",,,"63595","42379","96"
"1735855485.050362000","192.168.1.14","102.31.137.53","17","693",,,"63595","42379","679"
"1735855485.050592000","192.168.1.14","102.31.137.53","17","112",,,"63595","42379","98"
"1735855485.052641000","102.31.137.53","192.168.1.14","17","1007",,,"42379","63595","993"
"1735855485.053042000","102.31.137.53","192.168.1.14","17","1007",,,"42379","63595","993"
"1735855485.053808000","102.31.137.53","192.168.1.14","17","1008",,,"42379","63595","994"
"1735855485.054262000","102.31.137.53","192.168.1.14","17","1008",,,"42379","63595","994"
"1735855485.061884000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.071204000","192.168.1.14","102.31.137.53","17","107",,,"63595","42379","93"
"1735855485.089132000","192.168.1.14","102.31.137.53","17","103",,,"63595","42379","89"
"1735855485.108849000","192.168.1.14","102.31.137.53","17","103",,,"63595","42379","89"
"1735855485.113487000","192.168.1.14","102.31.137.53","17","693",,,"63595","42379","679"
"1735855485.114627000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.115433000","102.31.137.53","192.168.1.14","17","1069",,,"42379","63595","1055"
"1735855485.119847000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855485.124859000","102.31.137.53","192.168.1.14","17","1069",,,"42379","63595","1055"
"1735855485.125474000","102.31.137.53","192.168.1.14","17","1069",,,"42379","63595","1055"
"1735855485.125936000","102.31.137.53","192.168.1.14","17","1070",,,"42379","63595","1056"
"1735855485.125936000","102.31.137.53","192.168.1.14","17","1070",,,"42379","63595","1056"
"1735855485.130309000","192.168.1.14","102.31.137.53","17","77",,,"63595","42379","63"
"1735855485.150615000","192.168.1.14","157.240.196.49","17","62",,,"63595","40003","48"
"1735855485.166075000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.175424000","192.168.1.14","102.31.137.53","17","685",,,"63595","42379","671"
"1735855485.202239000","102.31.137.53","192.168.1.14","17","1044",,,"42379","63595","1030"
"1735855485.202650000","102.31.137.53","192.168.1.14","17","1044",,,"42379","63595","1030"
"1735855485.203059000","102.31.137.53","192.168.1.14","17","1044",,,"42379","63595","1030"
"1735855485.203611000","102.31.137.53","192.168.1.14","17","1045",,,"42379","63595","1031"
"1735855485.213380000","192.168.1.14","102.31.137.53","17","92",,,"63595","42379","78"
"1735855485.214518000","157.240.196.49","192.168.1.14","17","86",,,"40003","63595","72"
"1735855485.221669000","192.168.1.14","102.31.137.53","17","722",,,"63595","42379","708"
"1735855485.262801000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.285687000","192.168.1.14","102.31.137.53","17","112",,,"63595","42379","98"
"1735855485.285956000","192.168.1.14","102.31.137.53","17","549",,,"63595","42379","535"
"1735855485.286335000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.290422000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.290422000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.291036000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.297335000","102.31.137.53","192.168.1.14","17","148",,,"42379","63595","134"
"1735855485.306665000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855485.313291000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.350143000","192.168.1.14","102.31.137.53","17","889",,,"63595","42379","875"
"1735855485.357046000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.361102000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.361532000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.362074000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.362497000","102.31.137.53","192.168.1.14","17","81",,,"42379","63595","67"
"1735855485.371564000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.400455000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855485.413230000","192.168.1.14","102.31.137.53","17","828",,,"63595","42379","814"
"1735855485.452587000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.452587000","102.31.137.53","192.168.1.14","17","249",,,"42379","63595","235"
"1735855485.461185000","102.31.137.53","192.168.1.14","17","1108",,,"42379","63595","1094"
"1735855485.461542000","192.168.1.14","102.31.137.53","17","760",,,"63595","42379","746"
"1735855485.466492000","102.31.137.53","192.168.1.14","17","1108",,,"42379","63595","1094"
"1735855485.466492000","102.31.137.53","192.168.1.14","17","1108",,,"42379","63595","1094"
"1735855485.466492000","102.31.137.53","192.168.1.14","17","1108",,,"42379","63595","1094"
"1735855485.466492000","102.31.137.53","192.168.1.14","17","1108",,,"42379","63595","1094"
"1735855485.485693000","102.31.137.53","192.168.1.14","17","263",,,"42379","63595","249"
"1735855485.511153000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855485.526117000","192.168.1.14","102.31.137.53","17","796",,,"63595","42379","782"
"1735855485.529957000","192.168.1.14","102.31.137.53","17","86",,,"63595","42379","72"
"1735855485.536285000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855485.540814000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855485.540814000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855485.540814000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855485.544500000","102.31.137.53","192.168.1.14","17","261",,,"42379","63595","247"
